bait,prey,distance,stage
PSMB1,PSMD12,0.95761389487403,G1
PSMB10,PSMD12,1.73216524819191,G1
PSMB2,PSMD12,0.878711318657005,G1
PSMB3,PSMD12,0.855752320459243,G1
PSMB4,PSMD12,0.968333703771073,G1
PSMB5,PSMD12,1.04999116479266,G1
PSMB6,PSMD12,0.955448259554899,G1
PSMB7,PSMD12,1.00711116333165,G1
PSMB9,PSMD12,1.70688321515823,G1
PSMC1,PSMD12,0.468933443668683,G1
PSMC2,PSMD12,0.449511787314421,G1
PSMC3,PSMD12,0.576412427072138,G1
PSMC4,PSMD12,0.437792227363666,G1
PSMC5,PSMD12,0.371069140744743,G1
PSMC6,PSMD12,0.727149602132378,G1
PSMD1,PSMD12,0.548754780399962,G1
PSMD10,PSMD12,0.676983101933953,G1
PSMD11,PSMD12,0.415304970077166,G1
PSMA1,PSMD13,0.702171117369024,G1
PSMA2,PSMD13,0.630434365037775,G1
PSMA3,PSMD13,0.858125962508786,G1
PSMA4,PSMD13,0.783614722790584,G1
PSMA5,PSMD13,0.665615644172401,G1
PSMA6,PSMD13,0.799721111971113,G1
PSMA7,PSMD13,0.700296566012064,G1
PSMB1,PSMD13,0.791388195571226,G1
PSMB10,PSMD13,1.65499186798938,G1
PSMB2,PSMD13,0.820371121469154,G1
PSMB3,PSMD13,0.7784916538579,G1
PSMB4,PSMD13,0.785236467550839,G1
PSMB5,PSMD13,0.851072734210914,G1
PSMB6,PSMD13,0.752905481109,G1
PSMB7,PSMD13,0.846873833633927,G1
PSMB9,PSMD13,1.43434472679672,G1
PSMC1,PSMD13,0.38912217798433,G1
PSMC2,PSMD13,0.225657059080043,G1
PSMC3,PSMD13,0.371976627851494,G1
PSMC4,PSMD13,0.20627380085748,G1
PSMC5,PSMD13,0.277505095899085,G1
PSMC6,PSMD13,0.525825628886961,G1
PSMD1,PSMD13,0.402013770929746,G1
PSMD10,PSMD13,0.393849557129208,G1
PSMD11,PSMD13,0.160609257873503,G1
PSMD12,PSMD13,0.485712610782305,G1
PSMA1,PSMD14,0.597594366718522,G1
PSMA2,PSMD14,0.521361674141653,G1
PSMA3,PSMD14,0.708005339389274,G1
PSMA4,PSMD14,0.71323506745476,G1
PSMA5,PSMD14,0.632967349458811,G1
PSMA6,PSMD14,0.71675595559168,G1
PSMA7,PSMD14,0.599637779834048,G1
PSMB1,PSMD14,0.679311845273296,G1
PSMB10,PSMD14,1.56989617858926,G1
PSMB2,PSMD14,0.691948007656857,G1
PSMB3,PSMD14,0.700983535181623,G1
PSMB4,PSMD14,0.659874380151128,G1
PSMB5,PSMD14,0.745910725635579,G1
PSMB6,PSMD14,0.64711643071855,G1
PSMB7,PSMD14,0.755888012993705,G1
PSMB9,PSMD14,1.42710345633164,G1
PSMC1,PSMD14,0.300996852388122,G1
PSMC2,PSMD14,0.189747384479889,G1
PSMC3,PSMD14,0.388381203350677,G1
PSMC4,PSMD14,0.254450722647321,G1
PSMC5,PSMD14,0.235305683515703,G1
PSMC6,PSMD14,0.404458285542331,G1
PSMD1,PSMD14,0.395739562273713,G1
PSMD10,PSMD14,0.356951699078808,G1
PSMD11,PSMD14,0.173323175306007,G1
PSMD12,PSMD14,0.559632125466992,G1
PSMD13,PSMD14,0.221815330489751,G1
PSMA1,PSMD2,0.664220315352718,G1
PSMA2,PSMD2,0.580777317124443,G1
PSMA3,PSMD2,0.72488999497941,G1
PSMA4,PSMD2,0.709083855596683,G1
PSMA5,PSMD2,0.737140813081946,G1
PSMA6,PSMD2,0.627094140451799,G1
PSMA7,PSMD2,0.605994897367655,G1
PSMB1,PSMD2,0.686635616536301,G1
PSMB10,PSMD2,1.3077074389949,G1
PSMB2,PSMD2,0.775108798740149,G1
PSMB3,PSMD2,0.653212922614101,G1
PSMB4,PSMD2,0.619276442111489,G1
PSMB5,PSMD2,0.684724068156591,G1
PSMB6,PSMD2,0.651043032026034,G1
PSMB7,PSMD2,0.685084986879961,G1
PSMB9,PSMD2,1.47378025217051,G1
PSMC1,PSMD2,0.411549776213458,G1
PSMC2,PSMD2,0.393740035861037,G1
PSMC3,PSMD2,0.330201182121393,G1
PSMC4,PSMD2,0.447862114838271,G1
PSMC5,PSMD2,0.385522301380322,G1
PSMC6,PSMD2,0.622441236747682,G1
PSMD1,PSMD2,0.377384666170648,G1
PSMD10,PSMD2,0.446110723200247,G1
PSMD11,PSMD2,0.428880764576091,G1
PSMD12,PSMD2,0.771186032235933,G1
PSMD13,PSMD2,0.515248061060771,G1
PSMD14,PSMD2,0.453388446793073,G1
PSMA1,PSMD3,0.583830236728293,G1
PSMA2,PSMD3,0.520759788010251,G1
PSMA3,PSMD3,0.755187282323739,G1
PSMA4,PSMD3,0.705906039419623,G1
PSMA5,PSMD3,0.59649852092347,G1
PSMA6,PSMD3,0.625391214132744,G1
PSMA7,PSMD3,0.583979139679611,G1
PSMB1,PSMD3,0.658382591947185,G1
PSMB10,PSMD3,1.4170718201192,G1
PSMB2,PSMD3,0.755537875367975,G1
PSMB3,PSMD3,0.652083024547459,G1
PSMB4,PSMD3,0.667153854781436,G1
PSMB5,PSMD3,0.717567762138069,G1
PSMB6,PSMD3,0.600333369301547,G1
PSMB7,PSMD3,0.689713854799728,G1
PSMB9,PSMD3,1.18738258877068,G1
PSMC1,PSMD3,0.279560259783749,G1
PSMC2,PSMD3,0.279143743669681,G1
PSMC3,PSMD3,0.475691057633981,G1
PSMC4,PSMD3,0.279578566119354,G1
PSMC5,PSMD3,0.372213635875037,G1
PSMC6,PSMD3,0.690974650790732,G1
PSMD1,PSMD3,0.279196223286953,G1
PSMD10,PSMD3,0.28721592756121,G1
PSMD11,PSMD3,0.320052622952664,G1
PSMD12,PSMD3,0.626344664839274,G1
PSMD13,PSMD3,0.318408956695116,G1
PSMD14,PSMD3,0.31340163066001,G1
PSMD2,PSMD3,0.474517329499057,G1
PSMA1,PSMD4,0.369362858993466,G1
PSMA2,PSMD4,0.308085868989471,G1
PSMA3,PSMD4,0.522568277935234,G1
PSMA4,PSMD4,0.443705021846473,G1
PSMA5,PSMD4,0.3045710581067,G1
PSMA6,PSMD4,0.459648354201217,G1
PSMA7,PSMD4,0.325490387043147,G1
PSMB1,PSMD4,0.438833826612273,G1
PSMB10,PSMD4,1.31353108150231,G1
PSMB2,PSMD4,0.480392980104715,G1
PSMB3,PSMD4,0.441545391812028,G1
PSMB4,PSMD4,0.479567658589745,G1
PSMB5,PSMD4,0.545467964651662,G1
PSMB6,PSMD4,0.42175483446321,G1
PSMB7,PSMD4,0.475908439637121,G1
PSMB9,PSMD4,0.83003151686719,G1
PSMC1,PSMD4,0.470671640300503,G1
PSMC2,PSMD4,0.454782882118491,G1
PSMC3,PSMD4,0.682772772945159,G1
PSMC4,PSMD4,0.438946760572354,G1
PSMC5,PSMD4,0.490005828363041,G1
PSMC6,PSMD4,0.744719382604173,G1
PSMD1,PSMD4,0.322963803199869,G1
PSMD10,PSMD4,0.209315160839612,G1
PSMD11,PSMD4,0.515591458688951,G1
PSMD12,PSMD4,0.632540899257833,G1
PSMD13,PSMD4,0.529520134532959,G1
PSMD14,PSMD4,0.480662541810736,G1
PSMD2,PSMD4,0.593490095599927,G1
PSMD3,PSMD4,0.380281009682052,G1
PSMA1,PSMD5,0.302617428569885,G1
PSMA2,PSMD5,0.231183076776573,G1
PSMA3,PSMD5,0.277994044053192,G1
PSMA4,PSMD5,0.393094688693818,G1
PSMA5,PSMD5,0.41753187278197,G1
PSMA6,PSMD5,0.190508315007148,G1
PSMA7,PSMD5,0.21257147805933,G1
PSMB1,PSMD5,0.245412419638613,G1
PSMB10,PSMD5,0.989061887247735,G1
PSMB2,PSMD5,0.435966070621027,G1
PSMB3,PSMD5,0.226746634628653,G1
PSMB4,PSMD5,0.159818390337563,G1
PSMB5,PSMD5,0.201352377762453,G1
PSMB6,PSMD5,0.227792031684705,G1
PSMB7,PSMD5,0.227945780674115,G1
PSMB9,PSMD5,0.661611947523038,G1
PSMC1,PSMD5,0.504907341407316,G1
PSMC2,PSMD5,0.574021146478006,G1
PSMC3,PSMD5,0.743354171108851,G1
PSMC4,PSMD5,0.618757869836986,G1
PSMC5,PSMD5,0.609609630896162,G1
PSMC6,PSMD5,0.815134976204102,G1
PSMD1,PSMD5,0.348917664790646,G1
PSMD10,PSMD5,0.385964809690699,G1
PSMD11,PSMD5,0.655058839897268,G1
PSMD12,PSMD5,0.801712723982992,G1
PSMD13,PSMD5,0.722270797906277,G1
PSMD14,PSMD5,0.627111696532326,G1
PSMD2,PSMD5,0.510803437505703,G1
PSMD3,PSMD5,0.498683841645273,G1
PSMD4,PSMD5,0.363190729097074,G1
PSMA1,PSMD6,0.457919299268401,G1
PSMA2,PSMD6,0.438270626849879,G1
PSMA3,PSMD6,0.602544140487482,G1
PSMA4,PSMD6,0.681629126279257,G1
PSMA5,PSMD6,0.459304482879842,G1
PSMA6,PSMD6,0.686137898365435,G1
PSMA7,PSMD6,0.534314186257763,G1
PSMB1,PSMD6,0.583552565194437,G1
PSMB10,PSMD6,1.55307048612898,G1
PSMB2,PSMD6,0.535357665582081,G1
PSMB3,PSMD6,0.673056572991893,G1
PSMB4,PSMD6,0.607402498450862,G1
PSMB5,PSMD6,0.66623658267774,G1
PSMB6,PSMD6,0.580346826955968,G1
PSMB7,PSMD6,0.707238108891881,G1
PSMB9,PSMD6,1.0836921250501,G1
PSMC1,PSMD6,0.402787939121948,G1
PSMC2,PSMD6,0.437141756009842,G1
PSMC3,PSMD6,0.683031022749273,G1
PSMC4,PSMD6,0.398792362006337,G1
PSMC5,PSMD6,0.483633975205005,G1
PSMC6,PSMD6,0.534170995552951,G1
